config_id,true_a,post_mean_a,post_median_a,post_std_a,hdi_lo_a,hdi_hi_a,coverage_a,true_z,post_mean_z,post_median_z,post_std_z,hdi_lo_z,hdi_hi_z,coverage_z,true_v,post_mean_v,post_median_v,post_std_v,hdi_lo_v,hdi_hi_v,coverage_v,true_t,post_mean_t,post_median_t,post_std_t,hdi_lo_t,hdi_hi_t,coverage_t,true_sv,post_mean_sv,post_median_sv,post_std_sv,hdi_lo_sv,hdi_hi_sv,coverage_sv,true_sa,post_mean_sa,post_median_sa,post_std_sa,hdi_lo_sa,hdi_hi_sa,coverage_sa,true_st,post_mean_st,post_median_st,post_std_st,hdi_lo_st,hdi_hi_st,coverage_st,rhat_a,ess_a,rhat_z,ess_z,rhat_v,ess_v,rhat_t,ess_t,rhat_sv,ess_sv,rhat_sa,ess_sa,rhat_st,ess_st,n_divergences,n_trials,mean_rt,accuracy,elapsed_seconds
0,1.828172951585328,1.802609670185219,1.7962803300091952,0.1191419001304131,1.5805147579902226,2.0420078478341037,1,0.599142707195047,0.6064222676259485,0.6064437870547831,0.0271130754994318,0.5533769515977632,0.6594801032310172,1,-1.5558049299764285,-1.8218883662130751,-1.7994881118042536,0.312168009983509,-2.451849864769109,-1.2331144186357224,1,0.196201868661288,0.2063590094902844,0.2059224282981934,0.0159861494020713,0.1765828949823004,0.2384663400082682,1,1.9271217391329012,1.8599911396733813,1.8266513312081036,0.4131823461181582,1.10780926211765,2.703286541440753,1,1.099263996290986,0.5624899145536734,0.5284844832489424,0.3225906911601806,0.0180432400926837,1.1491107882717206,1,0.1043055293594856,0.1848208571147082,0.1843592395590928,0.0342560043924615,0.1203785883028671,0.2521274376889492,0,0.999985744186873,1264.9367195259897,1.000460736376051,1548.2079328425689,1.0004809663900371,1176.6073966567196,1.0020238644132355,3313.654911458236,1.0020373411765902,1153.9802202264032,1.000458778080284,2332.209740954332,1.0042013329889157,2246.780902709157,0,500,0.7053517896829106,0.242,1712.7704248428345
1,1.276835583260305,1.6622609583810275,1.6788415712506084,0.1606987850325653,1.3144122400025184,1.9328475000028809,0,0.5145614124332425,0.5378885650392186,0.5380310325283654,0.0174027861012003,0.5024006656386698,0.5696446023691332,1,-0.2028556319812509,-0.2737821454023832,-0.2698090102024805,0.1517968580571326,-0.5847081266365215,0.0107270192228028,1,0.3264393423956109,0.2988126629338595,0.2967225033425275,0.0119833753593509,0.2796959822283556,0.3265617894554441,1,0.1111125820991104,2.0442278912703977,2.175267096066269,0.7169504244373621,0.262611995329565,3.1948238053741957,0,0.9635055215732756,0.5566163831327985,0.5208120920405973,0.3209954180575333,0.0087171433356531,1.1192558255685183,1,0.049721122738769,0.0309201720325068,0.0265135435717082,0.0234490058127588,2.955000311689984e-06,0.0752716266453336,1,1.0047558328291382,821.535709688102,1.0013113513329055,2181.879430025299,1.0027710690868437,1989.6805001617224,1.0023006207092109,989.4645709575829,1.0040257872947989,862.5954615947514,1.0029215668404332,1630.5728709844673,1.0020018065763487,1444.977257435553,0,500,0.7760096958125848,0.472,3582.0703830718994
2,1.8049189812417532,1.941517958001849,1.931105253798377,0.1303849896712539,1.6980878530574266,2.2109211825367527,1,0.3381395232023647,0.3129851643480799,0.3128594981628967,0.0203319312892661,0.273703394109583,0.3536148650557901,1,1.6655601793517736,1.9981738565286091,1.9799505193572216,0.2757835128737197,1.4751168251506763,2.530639502381445,1,0.2102020004654197,0.2191919605592339,0.2191149286101071,0.0105502661171874,0.2001243116030811,0.2413641058938415,1,2.0546921513655807,2.503319556539024,2.4867259953236784,0.434375101130149,1.6841099442430003,3.352614229725363,1,0.8983704970835037,0.4412197810248897,0.4027716650862973,0.2720494868142677,0.0167831509214505,0.9525006137954136,1,0.0465523873063373,0.0786487513051758,0.0788489919602194,0.0265170942212775,0.0275261417247546,0.1336958164340267,1,1.0028745983596328,1422.8656319386398,1.001475070795042,1667.0663311364217,1.0031414678907198,1246.7143208565387,1.0010496595034586,2928.514806401058,1.0026368047042409,1315.893388111838,1.0039782634262926,2528.6130102274446,1.003472083925063,1290.4500293517056,0,500,0.7205688318417922,0.702,1460.9006032943726
3,1.6222523025758755,1.8522880730912392,1.8119014540801288,0.3346950228112177,1.2817324252079194,2.483455079035606,1,0.626887834401032,0.8108806847388308,0.8808387225988306,0.1417894707201819,0.5866737066310512,0.9652968648872486,1,2.9520026982319214,2.160008140862457,1.890013982517792,1.0943641449280748,0.7957862897746469,3.979476897762244,1,0.4187539492899311,0.4841116307448131,0.5030060673463288,0.0691244931004012,0.3924372476109619,0.5610203293685194,1,0.4400468948765969,0.4189320231840337,0.2984162245260935,0.3623365720053618,0.0001555313262974,1.130107888547729,1,0.097560555165349,0.4924357893403271,0.3991867083098224,0.3714725123676762,0.0042865695292122,1.2476160467248705,1,0.05727796160883,0.1487915673797098,0.176489018210736,0.1037797164442743,0.0107328549242057,0.2660274060073033,1,1.1815411383933048,15.657065450671029,1.7359274133290596,6.19461993663494,1.7347037363925797,6.178134718024154,1.7375489875822725,6.167036417782754,1.3269556973970562,9.809214504968018,1.0919307724329828,30.145582575999573,1.7372965773269935,6.137088359762108,0,500,0.6254396719185508,0.998,6030.894542217255
4,2.3078088997825668,2.323168853885781,2.306699822180017,0.2086311852750405,1.9346612771645797,2.727252382942026,1,0.4877164728630793,0.4415789000268399,0.4428430655373681,0.0548906902858351,0.3273565358486844,0.539570959690932,1,-2.1419013640848217,-2.0109670926167484,-1.9891038202206957,0.4607408162356375,-2.872558397332731,-1.1029898691242053,1,0.3975752809602083,0.4118598163806488,0.4092741187856976,0.0289624467558976,0.3599430085714269,0.4727357907822527,1,1.4082206808970867,1.2696849097119278,1.2575487514108727,0.3365620325176738,0.6195561708808475,1.921637738440569,1,0.7571143138043573,0.7830862850317168,0.7330422269480494,0.4533368656850139,0.0111012239974198,1.584803118292164,1,0.0542714796819617,0.0738919050812877,0.0722310826599876,0.0420741275334275,0.0008201402904604,0.1464288854199609,1,1.0040815455760552,987.7627690605811,1.0029284431610246,889.0131004520315,1.004389304241549,867.16005582962,1.0022862491526685,927.5028872710388,1.0042875549255246,922.0852288611916,1.0010198840771434,1653.4452740137872,1.0020019877265924,1196.0032692715663,0,500,1.0124688507193684,0.076,4418.9776611328125
5,1.5864732149315852,1.6547021574829115,1.639654588883367,0.144127749446165,1.3940537757543452,1.9505741384961477,1,0.4261279238122615,0.4569637797364316,0.4549914620475163,0.0595224327415647,0.3436639945426449,0.5751076177942663,1,3.074244466670049,2.960526309974333,2.896877999709659,0.4973822298260235,2.1158181131075184,3.8996594225399215,1,0.4478562043299096,0.4365771457717637,0.4377754800290265,0.0295503564755314,0.3767004008461627,0.4917317722216917,1,0.880708004804171,0.842762470409834,0.8119846249176117,0.3626635198829496,0.1492792029180678,1.5261615378890987,1,1.2761840627778411,0.6732789554404814,0.6566564346601438,0.3605188683434732,0.0628563181626423,1.335780127825819,1,0.126978255505588,0.1621888067506361,0.1662314121397857,0.0473234441117227,0.061077263713738,0.2501974321841053,1,1.0011606505178514,735.4938132658501,1.0015636915991326,697.4869748794241,1.0021822875293582,789.4426228439842,1.0034827489625622,767.9239638758007,1.0024804332401962,909.1008965192436,1.000397838083035,2030.15645825533,1.0031131411552372,1054.1628672442746,0,500,0.7501738638374528,0.972,3819.857922554016
6,1.9291541891792836,2.061351365577478,2.0531338311373286,0.1786868588207723,1.7152535123534118,2.4196014502822614,1,0.5777846718311193,0.5875292093652709,0.5877285432908185,0.0293834244584281,0.5286366926760716,0.64398166845978,1,-1.2397861747728975,-1.673235230393295,-1.651974233031804,0.3638367950446539,-2.42012150961905,-1.0026657462677675,1,0.2870813603917486,0.3101180906456954,0.3092153172855937,0.0220435282617566,0.2645790941609078,0.3508117234146449,1,1.3948855952255992,2.155717360075794,2.132427291112096,0.5670317809488049,1.1569923196634762,3.3808356151338623,1,1.2987180604081028,0.6879169327400093,0.6452973006615793,0.3997536602923445,0.0337666166245386,1.4276976090393518,1,0.1029259793162931,0.2340538717240589,0.233322025100483,0.0480507582690947,0.1459229883772448,0.332965184110526,0,1.0034865308733336,1124.7712459826655,1.0046779652401951,1141.294466673717,1.0069296855079417,942.5308214312709,1.0017205259750326,2640.797469988543,1.0049958199222793,1022.7190905179668,1.0011611812391217,1961.1332580810104,1.0032005709174676,1576.2158784516823,0,500,0.9027031965924722,0.264,3248.326114177704
7,2.1720822349402598,2.38313779287161,2.3857521454921566,0.1972092015424371,2.022790935148516,2.809524905176451,1,0.4812155240660704,0.4912578583605502,0.4912582789960957,0.0189445788979005,0.451889924574898,0.5259088565331385,1,0.2984414229908312,0.2716701371091896,0.2646420164392359,0.1579021408471607,-0.0197460367048203,0.6091304379407744,1,0.1663030259079758,0.1348463773665865,0.1333631321083233,0.0166344164009082,0.1009291065638647,0.1664135088161393,1,1.6870006148277958,2.3043210390238884,2.3084306359542794,0.4546448494098911,1.4329906865595006,3.1918106703767517,1,1.8763827317135475,0.777864070900152,0.7285460151943073,0.4585073866615322,0.029854415883385,1.611720358495042,0,0.0737158733654102,0.060533443428902,0.0511536180300529,0.0451484319728235,0.0001162995409228,0.1471473531151659,1,1.001213245752061,1349.6889700620827,1.0009655045492918,1949.904351531433,1.0009858149987167,2129.139514359824,0.9993385329413896,2392.077099099806,1.001544900466301,1369.8741529703038,0.9999868643733336,2319.153881451022,1.0013517737220308,1846.7956613282013,0,500,0.9233438935528206,0.534,2603.322203397751
8,1.3266575161318632,1.4654736728946385,1.457421167189404,0.1129172721902003,1.2434237384379092,1.6807761623516486,1,0.3742976088317971,0.4875212574845208,0.4890470456264485,0.0441706753914518,0.4026544998141513,0.5742311546476893,0,-1.0369235075802723,-2.3563531880867408,-2.3325078011723845,0.5306746886462841,-3.403524876362105,-1.35686228178754,0,0.4387319411516684,0.4218951765513858,0.4215313543148975,0.0152158877795352,0.3901731347752333,0.4501928244813579,1,0.7790237704167724,2.0057933772106527,1.9695820916333515,0.5292673952812973,1.005765721925019,3.022815744881471,0,1.1215926790723156,0.5162752254937293,0.4942940158187157,0.2927652018472356,0.01713883467155,1.023395455645609,0,0.1459158637606858,0.1683034766069936,0.1689624778941236,0.0252456582412954,0.1226175934859548,0.2223187552237283,1,1.0012905122491844,929.8298706355278,1.0007647233971622,1001.8828603000912,1.001263937157159,908.394807294092,1.0002720958078362,1467.733518009575,1.0009859296330113,949.6735594233356,1.0007799325556526,2105.9467924855903,1.0001468324949063,1620.3063228847273,0,500,0.7278091280464869,0.158,1653.101069688797
9,1.5959810007078594,1.592064785986981,1.5815536786279885,0.1088220083070701,1.3958900105679204,1.817649972872101,1,0.3998071504854162,0.3813654500817742,0.3815606091466639,0.0263812685410301,0.3273460895408752,0.4310208174352992,1,1.5151312774070682,1.6780942941246195,1.6503648154450412,0.2965267030622578,1.1233589194376683,2.2580745944963656,1,0.158683740343008,0.1760547760791377,0.1751018932966794,0.0159404631358665,0.1468497860632437,0.2069694534167919,1,1.2426448294155632,1.4072432602853882,1.3733685060306726,0.4506172225366142,0.5991001910241773,2.3613577585935217,1,0.6354246602014527,0.5517594590228216,0.5331646480609524,0.2936851947537134,0.0091109541830354,1.0601475856089968,1,0.0753104918472425,0.1012319718683023,0.106634449019195,0.0453919160439834,0.0055200463712715,0.1737488989055499,1,1.0028261229847872,1050.743775755909,1.0020006197013016,1042.3113998490849,1.0036459621062297,896.9791289680271,1.0008899136747564,1752.1377774662903,1.0039814804053544,868.2824935887301,1.0019137610375597,1923.4879676059627,1.0028355780099245,904.3130073982492,0,500,0.6180347021629111,0.762,2113.8286588191986
