tag,n_trials,sec,div,max_rhat,min_ess,v_Intercept,v_Intercept_sd,v_val,v_val_sd,v_tim,v_tim_sd,a,a_sd,z,z_sd,t,t_sd,sv,sv_sd,sa,sa_sd,st,st_sd,t0
subj_003_0110,141,387,2,1.01,446,2.504,0.856,0.077,0.063,-0.001,0.001,3.427,1.113,0.464,0.132,0.575,0.134,0.627,0.478,1.493,0.852,0.428,0.219,0.7889999999999999
subj_003_0112,140,285,0,1.01,627,-0.139,0.25,0.384,0.1,-0.006,0.002,3.528,0.488,0.522,0.05,1.203,0.076,0.549,0.349,1.26,0.825,0.599,0.215,1.5025
subj_003_0114,139,323,0,1.01,424,0.688,0.413,0.158,0.056,-0.003,0.001,4.441,0.622,0.631,0.091,0.34,0.124,0.546,0.341,1.405,0.856,0.655,0.395,0.6675
subj_003_0116,141,213,0,1.01,554,-1.059,0.421,0.611,0.127,-0.013,0.003,2.266,0.293,0.653,0.052,0.879,0.031,0.966,0.468,0.917,0.648,0.597,0.076,1.1775
subj_003_0118,141,284,1,1.01,313,1.198,0.584,0.183,0.066,-0.003,0.001,3.184,0.566,0.507,0.086,0.82,0.081,0.802,0.466,1.204,0.825,0.724,0.208,1.182
subj_003_0120,141,358,0,1.01,176,1.891,0.776,0.05,0.057,-0.0,0.001,3.797,0.917,0.542,0.153,0.171,0.089,0.714,0.479,1.631,0.868,0.366,0.291,0.354
subj_003_0122,141,268,0,1.01,362,0.959,0.612,0.271,0.074,-0.009,0.002,2.239,0.297,0.717,0.067,1.04,0.036,0.69,0.452,0.91,0.685,1.257,0.08,1.6684999999999999
subj_003_0124,141,266,0,1.0,289,1.172,0.734,0.319,0.091,-0.002,0.002,3.212,0.7,0.761,0.097,0.477,0.052,0.926,0.505,1.404,0.849,0.58,0.106,0.7669999999999999
subj_003_0126,141,287,0,1.03,118,-0.09,0.276,0.32,0.074,-0.003,0.001,3.199,0.4,0.718,0.062,0.71,0.059,0.317,0.269,1.253,0.819,1.334,0.223,1.377
subj_003_0128,141,255,0,1.0,639,-0.484,0.269,0.335,0.068,-0.009,0.002,2.58,0.269,0.596,0.047,1.076,0.065,0.471,0.346,1.311,0.832,0.835,0.163,1.4935
subj_003_0130,141,297,2,1.02,78,-0.235,0.549,0.514,0.161,-0.012,0.003,2.204,0.254,0.668,0.078,0.989,0.064,0.969,0.532,1.442,0.782,0.847,0.14,1.4125
subj_003_0132,141,344,9,1.0,484,2.121,0.786,0.078,0.065,-0.002,0.001,4.552,0.837,0.552,0.135,0.173,0.105,0.678,0.441,1.574,0.856,1.46,0.226,0.903
subj_003_0134,140,316,0,1.01,602,-0.146,0.206,0.29,0.058,-0.002,0.001,4.204,0.454,0.541,0.065,0.687,0.137,0.294,0.203,1.227,0.82,1.538,0.296,1.456
subj_003_0136,141,306,0,1.01,473,-0.116,0.317,0.565,0.129,-0.009,0.002,2.808,0.367,0.442,0.068,1.244,0.094,0.553,0.387,1.5,0.844,1.377,0.167,1.9325
subj_003_0138,141,283,0,1.01,256,0.027,0.367,0.355,0.099,-0.009,0.002,3.262,0.497,0.591,0.059,0.824,0.069,1.076,0.411,1.165,0.801,0.863,0.186,1.2555
subj_003_0140,140,364,4,1.01,313,2.121,0.771,0.112,0.055,-0.004,0.001,4.463,0.801,0.564,0.14,0.978,0.126,0.679,0.391,1.521,0.877,0.524,0.198,1.24
subj_003_0142,141,248,0,1.0,601,-1.431,0.48,0.267,0.08,0.007,0.003,3.172,0.423,0.572,0.061,0.491,0.081,1.273,0.448,1.181,0.788,1.212,0.203,1.097
subj_003_0144,140,276,0,1.01,512,0.115,0.202,0.104,0.036,-0.006,0.001,3.099,0.296,0.557,0.058,1.105,0.124,0.248,0.231,1.676,0.881,1.143,0.416,1.6764999999999999
subj_003_0146,141,305,28,1.01,464,2.949,0.882,0.037,0.063,-0.003,0.001,4.451,0.868,0.452,0.158,0.687,0.153,0.824,0.456,1.535,0.859,0.746,0.261,1.06
subj_003_0148,141,245,0,1.01,460,0.018,0.274,0.254,0.058,-0.005,0.001,3.065,0.346,0.644,0.062,0.523,0.085,0.522,0.325,1.244,0.804,1.618,0.158,1.332
subj_003_0150,140,285,2,1.01,159,-0.084,0.347,0.489,0.181,-0.011,0.004,3.434,0.568,0.573,0.066,1.058,0.118,0.722,0.469,1.379,0.866,1.35,0.552,1.733
subj_003_0152,141,263,0,1.01,486,0.48,0.334,0.263,0.07,-0.004,0.001,3.333,0.436,0.572,0.079,0.526,0.107,0.433,0.324,1.344,0.836,1.386,0.234,1.2189999999999999
subj_003_0154,141,1541,0,1.01,455,-1.349,0.458,0.567,0.12,-0.016,0.004,2.83,0.351,0.647,0.06,1.236,0.054,1.132,0.428,1.437,0.845,1.27,0.12,1.871
subj_003_0156,141,228,0,1.0,301,-0.635,0.305,0.359,0.079,-0.004,0.001,2.386,0.263,0.695,0.071,0.46,0.058,0.428,0.375,1.484,0.839,1.593,0.095,1.2565
subj_003_0158,141,293,1,1.01,382,1.949,0.673,-0.001,0.059,0.002,0.002,3.778,1.127,0.786,0.102,0.347,0.031,0.442,0.379,1.434,0.86,0.121,0.051,0.4075
subj_003_0160,140,305,1,1.01,315,1.208,0.735,0.137,0.056,-0.002,0.001,3.845,0.753,0.712,0.122,0.516,0.081,0.552,0.422,1.567,0.873,0.387,0.207,0.7095
subj_003_0163,141,343,0,1.0,342,-2.177,0.582,0.586,0.125,-0.014,0.003,2.13,0.227,0.484,0.057,0.663,0.041,0.914,0.449,1.116,0.75,0.853,0.159,1.0895000000000001
subj_003_0165,141,256,0,1.03,71,0.232,0.453,0.399,0.145,-0.006,0.002,2.53,0.365,0.647,0.071,0.713,0.066,0.58,0.434,1.052,0.756,1.077,0.254,1.2515
subj_003_0167,141,230,0,1.01,638,1.507,0.584,0.33,0.08,-0.007,0.002,2.151,0.311,0.539,0.078,0.772,0.036,0.595,0.436,0.973,0.725,0.576,0.079,1.06
subj_003_0169,141,241,0,1.03,176,-0.606,0.268,0.447,0.098,-0.007,0.001,2.784,0.257,0.631,0.06,0.67,0.075,0.3,0.23,1.364,0.841,1.312,0.242,1.326
subj_003_0171,141,321,0,1.01,491,1.443,0.476,0.024,0.034,0.0,0.001,4.358,0.853,0.602,0.119,0.407,0.128,0.306,0.267,1.479,0.857,0.319,0.232,0.5665
subj_003_0173,141,322,6,1.0,754,3.85,0.811,0.235,0.089,-0.004,0.002,4.465,0.958,0.428,0.157,0.413,0.125,0.373,0.302,1.473,0.865,0.691,0.132,0.7585
subj_003_0175,140,226,0,1.01,371,-0.332,0.39,0.394,0.1,-0.004,0.002,2.43,0.355,0.595,0.073,0.768,0.06,0.806,0.498,1.406,0.842,0.692,0.138,1.1139999999999999
subj_003_0177,140,223,0,1.01,316,-0.036,0.437,0.4,0.135,-0.004,0.002,3.06,0.44,0.615,0.078,1.167,0.067,1.158,0.495,1.449,0.856,1.595,0.213,1.9645000000000001
subj_003_0179,141,250,0,1.0,603,0.362,0.333,0.278,0.071,-0.004,0.001,3.276,0.476,0.632,0.071,0.248,0.075,0.462,0.314,1.205,0.791,0.986,0.286,0.741
subj_003_0181,141,246,0,1.01,487,0.112,0.28,0.263,0.07,-0.007,0.002,3.59,0.557,0.512,0.045,0.764,0.058,0.686,0.412,1.191,0.781,0.449,0.184,0.9885
subj_003_0183,141,229,0,1.0,655,-0.19,0.558,0.616,0.115,-0.009,0.002,1.822,0.224,0.626,0.082,1.003,0.034,0.786,0.505,1.352,0.746,1.191,0.043,1.5985
subj_003_0185,141,264,0,1.0,604,0.522,0.376,0.372,0.082,-0.007,0.002,3.37,0.427,0.588,0.067,0.687,0.073,0.403,0.322,1.506,0.864,0.747,0.194,1.0605
subj_003_0187,141,258,0,1.01,413,0.526,0.285,0.183,0.039,-0.003,0.001,3.548,0.398,0.608,0.064,1.28,0.093,0.293,0.24,1.288,0.817,1.008,0.194,1.784
subj_003_0189,141,210,0,1.0,543,0.022,0.268,0.201,0.058,-0.006,0.002,3.08,0.382,0.537,0.05,0.574,0.091,0.617,0.385,1.639,0.841,0.659,0.184,0.9035
subj_003_0191,141,196,9,1.02,358,1.235,0.647,0.108,0.058,0.0,0.001,3.817,0.783,0.527,0.119,0.327,0.153,0.575,0.435,1.447,0.866,1.467,0.268,1.0605
subj_003_0193,141,2617,7,2.05,3,-0.344,0.335,0.265,0.082,-0.02,0.007,2.693,0.382,0.454,0.042,0.96,0.139,1.341,0.569,1.572,0.614,1.511,0.427,1.7155
subj_003_0195,141,227,0,1.0,521,-0.186,0.429,0.332,0.092,-0.01,0.002,2.669,0.333,0.611,0.056,1.038,0.057,1.352,0.411,1.256,0.794,0.913,0.166,1.4945
subj_003_0197,141,267,0,1.0,381,-0.938,0.374,0.549,0.152,-0.007,0.002,3.353,0.534,0.484,0.061,0.505,0.078,1.024,0.466,1.404,0.839,0.881,0.274,0.9455
subj_003_0199,140,284,0,1.01,268,0.457,0.536,0.323,0.111,-0.003,0.001,3.654,0.692,0.611,0.098,0.395,0.119,0.773,0.474,1.307,0.822,1.227,0.201,1.0085000000000002
subj_003_0201,141,274,0,1.01,448,0.658,0.606,0.288,0.079,-0.004,0.001,3.707,0.713,0.744,0.078,0.886,0.069,0.807,0.454,1.314,0.821,0.924,0.132,1.348
subj_003_0203,140,251,1,1.0,445,0.094,0.669,0.321,0.109,0.005,0.003,2.562,0.761,0.858,0.049,0.361,0.013,0.614,0.44,1.682,0.86,0.559,0.016,0.6405000000000001
subj_003_0205,141,289,0,1.0,430,-0.492,0.234,0.358,0.07,-0.003,0.001,3.082,0.304,0.602,0.062,0.643,0.099,0.334,0.249,1.095,0.74,1.826,0.164,1.556
subj_003_0207,141,253,0,1.01,420,-1.515,0.533,0.404,0.112,-0.014,0.003,2.805,0.367,0.577,0.056,1.136,0.069,1.193,0.477,1.165,0.792,1.356,0.254,1.814
subj_003_0209,140,322,0,1.0,949,-0.138,0.154,0.178,0.03,-0.004,0.001,3.622,0.283,0.502,0.047,0.808,0.145,0.156,0.121,1.465,0.86,1.677,0.3,1.6465
subj_003_0211,140,328,0,1.0,782,1.546,0.442,-0.001,0.035,-0.0,0.001,4.977,0.642,0.546,0.117,0.265,0.167,0.297,0.251,1.64,0.875,1.595,0.372,1.0625
subj_003_0213,141,254,0,1.0,466,-0.1,0.368,0.501,0.1,-0.006,0.002,2.348,0.274,0.599,0.069,0.519,0.044,0.655,0.412,1.257,0.792,0.826,0.091,0.9319999999999999
subj_003_0216,140,304,0,1.01,386,0.321,0.351,0.269,0.108,-0.006,0.002,3.065,0.446,0.55,0.065,0.583,0.104,0.601,0.455,1.518,0.845,1.203,0.508,1.1844999999999999
