tag,n_trials,sec,div,max_rhat,min_ess,v_Intercept,v_Intercept_sd,v_val,v_val_sd,v_tim,v_tim_sd,a,a_sd,z,z_sd,t,t_sd,sv,sv_sd,sa,sa_sd,st,st_sd,t0
subj_003_0048,141,251,1,1.01,375,0.854,0.454,0.108,0.044,-0.002,0.001,3.981,0.566,0.624,0.093,0.232,0.107,0.34,0.344,1.55,0.881,0.7,0.462,0.582
subj_003_0050,141,268,1,1.0,432,1.124,0.596,0.163,0.08,-0.001,0.001,4.183,0.785,0.623,0.132,0.421,0.135,0.543,0.381,1.485,0.864,0.903,0.43,0.8725
subj_003_0052,139,200,0,1.01,309,0.258,0.372,0.309,0.095,-0.006,0.002,4.197,0.62,0.468,0.06,0.57,0.124,0.827,0.43,1.578,0.84,0.847,0.361,0.9934999999999999
subj_003_0054,141,178,0,1.0,485,-1.182,0.468,0.582,0.11,-0.01,0.002,1.999,0.215,0.656,0.056,1.012,0.041,0.789,0.471,1.148,0.761,0.899,0.077,1.4615
subj_003_0056,140,229,0,1.0,451,1.361,0.554,0.206,0.064,-0.005,0.002,3.033,0.507,0.523,0.081,0.91,0.076,0.614,0.414,1.212,0.789,0.408,0.186,1.114
subj_003_0058,138,229,0,1.0,331,0.143,0.192,0.157,0.043,-0.002,0.001,4.018,0.474,0.454,0.058,0.473,0.151,0.355,0.262,1.274,0.807,1.756,0.256,1.351
subj_003_0060,140,256,3,1.01,595,1.819,0.742,0.103,0.058,-0.003,0.001,4.4,0.792,0.576,0.129,0.393,0.126,0.708,0.39,1.51,0.871,0.812,0.25,0.799
subj_003_0062,141,182,0,1.0,455,-0.721,0.414,0.461,0.12,-0.013,0.004,3.027,0.439,0.51,0.053,0.83,0.069,1.228,0.457,1.509,0.88,0.774,0.193,1.217
subj_003_0064,140,135,0,1.01,480,0.732,0.454,0.351,0.105,-0.004,0.001,2.868,0.473,0.555,0.085,0.868,0.068,0.655,0.427,1.243,0.812,0.763,0.152,1.2495
subj_003_0067,140,228,1,1.01,415,-0.547,0.264,0.472,0.124,-0.007,0.002,4.264,0.543,0.459,0.046,0.712,0.106,0.559,0.324,1.38,0.847,0.677,0.407,1.0505
subj_003_0069,141,357,1,1.02,83,0.448,0.415,0.175,0.076,-0.003,0.001,2.292,0.262,0.727,0.058,0.41,0.045,0.403,0.399,0.882,0.674,0.642,0.253,0.731
subj_003_0071,141,226,0,1.01,376,-0.379,0.275,0.274,0.062,-0.002,0.001,3.101,0.362,0.617,0.058,0.519,0.077,0.486,0.329,1.111,0.74,0.487,0.227,0.7625
subj_003_0073,141,216,0,1.01,421,0.493,0.486,0.231,0.063,-0.004,0.002,2.946,0.468,0.593,0.091,0.885,0.101,0.588,0.436,1.222,0.786,1.84,0.186,1.8050000000000002
subj_003_0075,141,143,0,1.01,337,-0.123,0.404,0.329,0.091,-0.012,0.003,3.417,0.483,0.604,0.054,0.893,0.087,1.226,0.38,1.296,0.854,1.035,0.25,1.4104999999999999
subj_003_0077,141,272,1,1.0,635,1.508,0.529,0.263,0.065,-0.005,0.001,4.152,0.727,0.633,0.111,0.656,0.08,0.512,0.371,1.529,0.856,0.463,0.174,0.8875000000000001
subj_003_0079,141,330,1,1.01,345,2.331,0.968,0.191,0.1,-0.0,0.002,3.309,1.127,0.71,0.124,0.397,0.046,0.649,0.456,1.527,0.858,0.222,0.097,0.508
subj_003_0081,141,345,1,1.01,236,0.924,0.525,0.107,0.047,-0.001,0.001,3.367,0.521,0.61,0.115,0.228,0.09,0.483,0.359,1.319,0.828,0.434,0.377,0.445
subj_003_0083,141,196,0,1.0,387,-1.224,0.33,0.412,0.08,-0.004,0.001,2.352,0.241,0.64,0.054,0.822,0.061,0.451,0.324,0.792,0.612,0.749,0.183,1.1965
subj_003_0085,141,192,0,1.01,485,-0.838,0.355,0.68,0.13,-0.005,0.002,3.431,0.505,0.723,0.056,0.735,0.054,0.747,0.41,1.198,0.8,0.996,0.084,1.233
subj_003_0087,141,220,0,1.01,456,0.16,0.382,0.266,0.055,-0.003,0.001,3.577,0.513,0.652,0.069,0.794,0.074,0.525,0.351,1.356,0.869,0.458,0.125,1.0230000000000001
subj_003_0089,141,210,0,1.01,363,-0.504,0.431,0.044,0.041,-0.004,0.001,2.579,0.315,0.295,0.072,0.741,0.072,0.466,0.407,1.32,0.8,0.924,0.157,1.203
subj_003_0091,141,196,0,1.0,401,0.104,0.32,0.215,0.063,-0.007,0.002,2.64,0.282,0.415,0.05,0.826,0.07,0.754,0.423,1.351,0.822,0.634,0.21,1.143
subj_003_0093,141,208,0,1.0,486,0.763,0.476,0.266,0.065,-0.006,0.001,2.371,0.314,0.682,0.065,0.822,0.035,0.528,0.406,0.983,0.704,0.471,0.108,1.0574999999999999
subj_003_0095,140,220,0,1.01,454,-0.547,0.307,0.284,0.092,-0.007,0.002,4.048,0.521,0.565,0.051,0.812,0.132,0.644,0.358,1.336,0.855,1.717,0.303,1.6705
subj_003_0097,140,273,0,1.01,362,0.341,0.305,0.289,0.064,-0.005,0.001,3.142,0.418,0.529,0.056,0.941,0.08,0.497,0.363,1.341,0.837,0.271,0.156,1.0765
subj_003_0100,141,261,0,1.01,605,-0.113,0.275,0.565,0.089,-0.01,0.002,3.535,0.385,0.686,0.057,0.802,0.052,0.283,0.224,1.478,0.855,1.018,0.1,1.311
subj_003_0103,139,237,0,1.01,438,-0.463,0.308,0.42,0.082,-0.009,0.002,3.01,0.393,0.61,0.044,0.854,0.054,0.652,0.398,1.645,0.856,0.331,0.124,1.0195
subj_003_0105,141,268,27,1.01,466,0.032,0.312,0.152,0.056,-0.019,0.004,2.326,0.223,0.438,0.057,0.823,0.055,0.467,0.344,1.425,0.828,1.177,0.177,1.4115
subj_003_0107,141,205,1,1.0,438,-1.066,0.43,0.385,0.089,-0.014,0.003,2.169,0.248,0.542,0.056,0.884,0.039,0.823,0.48,1.901,0.741,0.717,0.102,1.2425
subj_003_0109,141,211,0,1.0,635,-1.507,0.516,0.401,0.103,-0.011,0.003,2.279,0.276,0.524,0.053,0.866,0.051,1.165,0.475,1.231,0.811,0.702,0.119,1.217
subj_003_0111,141,252,0,1.01,458,0.869,0.569,0.309,0.098,-0.009,0.002,3.876,0.67,0.696,0.063,0.935,0.063,0.787,0.443,1.268,0.823,0.676,0.186,1.2730000000000001
subj_003_0113,139,273,0,1.01,409,0.037,0.307,0.441,0.082,-0.009,0.002,3.46,0.492,0.537,0.048,1.015,0.066,0.554,0.362,1.344,0.812,0.325,0.129,1.1775
subj_003_0115,140,270,0,1.01,529,-0.439,0.245,0.295,0.078,-0.005,0.002,3.965,0.605,0.561,0.051,0.703,0.078,0.648,0.343,1.018,0.765,1.67,0.211,1.5379999999999998
subj_003_0117,141,248,0,1.01,437,0.748,0.611,0.135,0.053,0.0,0.001,3.84,0.879,0.819,0.081,0.395,0.048,0.428,0.347,1.416,0.838,0.351,0.07,0.5705
subj_003_0119,141,194,2,1.0,536,1.8,0.741,0.164,0.064,-0.002,0.001,4.108,0.914,0.56,0.145,0.46,0.116,0.759,0.435,1.543,0.863,0.368,0.258,0.644
subj_003_0121,141,290,0,1.0,376,0.536,0.359,0.128,0.039,0.0,0.001,4.243,0.668,0.691,0.088,0.333,0.093,0.295,0.239,1.496,0.849,0.307,0.224,0.48650000000000004
subj_003_0123,141,253,0,1.01,727,0.017,0.421,0.416,0.083,-0.004,0.001,3.502,0.532,0.782,0.052,0.255,0.057,0.523,0.37,1.312,0.84,1.015,0.085,0.7625
subj_003_0125,140,249,0,1.01,432,0.163,0.322,0.322,0.09,-0.008,0.002,2.999,0.453,0.567,0.06,0.966,0.081,0.672,0.434,1.132,0.762,0.981,0.19,1.4565
subj_003_0127,140,343,1,1.01,638,2.112,0.662,0.081,0.055,-0.0,0.001,4.286,0.93,0.601,0.142,0.189,0.09,0.454,0.361,1.591,0.878,0.391,0.225,0.3845
subj_003_0129,141,203,0,1.0,567,0.711,0.439,0.305,0.088,-0.008,0.002,3.731,0.599,0.544,0.067,1.23,0.09,0.792,0.401,1.197,0.812,1.085,0.252,1.7725
subj_003_0131,140,183,1,1.01,536,0.05,0.463,0.333,0.11,-0.001,0.001,3.459,0.548,0.622,0.09,0.559,0.101,1.141,0.508,1.249,0.835,1.71,0.18,1.4140000000000001
subj_003_0133,141,195,1,1.01,424,1.348,0.608,0.432,0.111,-0.012,0.003,2.659,0.417,0.533,0.076,0.886,0.052,1.062,0.491,1.154,0.779,0.948,0.125,1.3599999999999999
subj_003_0135,140,217,0,1.0,413,0.267,0.303,0.207,0.055,-0.003,0.001,3.583,0.478,0.614,0.077,0.385,0.13,0.384,0.297,1.165,0.787,1.779,0.203,1.2745
subj_003_0137,141,208,0,1.0,514,-0.413,0.279,0.489,0.078,-0.006,0.001,3.149,0.283,0.623,0.068,0.989,0.067,0.254,0.198,1.334,0.838,1.527,0.176,1.7525
subj_003_0139,141,156,0,1.01,252,-0.668,0.381,0.62,0.191,-0.012,0.004,2.975,0.461,0.546,0.067,0.829,0.078,0.922,0.498,1.499,0.863,1.081,0.333,1.3695
subj_003_0141,141,209,8,1.01,303,1.463,0.614,0.04,0.042,0.0,0.001,4.452,0.79,0.458,0.127,0.294,0.163,0.451,0.4,1.57,0.872,0.906,0.495,0.747
subj_003_0143,138,209,0,1.02,209,0.524,0.247,0.123,0.043,-0.002,0.001,3.523,0.421,0.607,0.076,0.984,0.127,0.232,0.223,1.206,0.776,0.897,0.437,1.4325
subj_003_0145,141,190,4,1.0,440,0.553,0.507,0.258,0.07,0.003,0.002,3.418,0.639,0.533,0.109,0.639,0.087,0.774,0.445,1.431,0.829,0.637,0.159,0.9575
subj_003_0147,141,187,0,1.01,486,-0.479,0.326,0.374,0.071,-0.006,0.001,2.417,0.26,0.654,0.063,0.545,0.051,0.501,0.373,1.492,0.829,0.806,0.09,0.9480000000000001
subj_003_0149,141,193,1,1.0,665,0.494,0.442,0.591,0.109,-0.01,0.002,2.788,0.357,0.653,0.068,0.88,0.04,0.551,0.363,1.349,0.817,0.694,0.083,1.2269999999999999
subj_003_0151,141,223,0,1.01,678,-0.497,0.235,0.264,0.058,-0.002,0.001,3.203,0.308,0.625,0.063,0.792,0.116,0.308,0.247,1.369,0.841,1.722,0.29,1.653
subj_003_0153,141,177,0,1.0,524,-0.527,0.439,0.531,0.119,-0.012,0.003,2.637,0.353,0.465,0.055,0.869,0.036,1.061,0.421,0.923,0.697,0.659,0.131,1.1985000000000001
subj_003_0155,140,222,0,1.01,660,-0.046,0.219,0.151,0.033,-0.003,0.001,3.098,0.271,0.648,0.049,0.653,0.084,0.267,0.233,1.634,0.838,0.539,0.236,0.9225000000000001
subj_003_0157,138,232,0,1.0,809,-0.543,0.213,0.197,0.043,-0.003,0.001,3.047,0.289,0.513,0.048,0.691,0.125,0.298,0.259,1.416,0.845,1.619,0.287,1.5005
subj_003_0159,141,274,0,1.01,406,1.414,0.577,0.065,0.051,-0.001,0.001,3.755,0.922,0.772,0.077,0.401,0.042,0.405,0.344,1.413,0.869,0.159,0.061,0.48050000000000004
subj_003_0161,141,152,4,1.05,49,-0.421,0.558,0.451,0.141,-0.011,0.004,1.944,0.328,0.513,0.073,0.8,0.051,1.27,0.501,1.543,0.743,0.96,0.271,1.28
subj_003_0164,141,274,1,1.01,336,1.272,0.645,0.284,0.095,-0.003,0.001,3.72,0.801,0.57,0.126,0.449,0.11,0.816,0.469,1.422,0.825,0.881,0.238,0.8895
subj_003_0166,140,245,0,1.0,444,0.523,0.276,0.18,0.043,-0.007,0.001,3.292,0.407,0.587,0.047,0.836,0.074,0.439,0.289,0.996,0.71,0.328,0.192,1.0
subj_003_0168,141,273,0,1.01,146,1.334,0.753,0.215,0.096,-0.003,0.001,2.904,0.541,0.667,0.099,0.384,0.066,0.817,0.512,1.428,0.834,1.143,0.223,0.9555
subj_003_0170,141,266,0,1.02,339,0.425,0.363,0.408,0.096,-0.007,0.002,3.45,0.597,0.54,0.058,0.675,0.06,0.714,0.402,1.087,0.774,0.475,0.174,0.9125000000000001
subj_003_0172,141,372,1,1.01,554,3.127,0.688,0.019,0.05,-0.002,0.001,4.185,0.974,0.501,0.153,0.233,0.108,0.364,0.301,1.664,0.873,0.391,0.217,0.4285
subj_003_0174,141,262,0,1.01,540,0.646,0.534,0.402,0.096,-0.006,0.002,2.722,0.434,0.623,0.079,0.628,0.046,0.812,0.464,1.041,0.723,0.686,0.079,0.9710000000000001
subj_003_0176,141,255,0,1.01,420,-0.983,0.312,0.437,0.082,-0.005,0.001,2.681,0.266,0.642,0.056,0.463,0.082,0.284,0.234,1.802,0.817,1.087,0.206,1.0065
subj_003_0178,141,236,0,1.01,456,-0.286,0.48,0.543,0.125,-0.007,0.002,2.585,0.372,0.618,0.067,0.973,0.046,1.071,0.508,1.041,0.737,0.544,0.1,1.245
subj_003_0180,141,340,1,1.01,536,1.566,0.684,0.125,0.057,0.0,0.001,3.953,0.961,0.619,0.138,0.262,0.096,0.43,0.361,1.665,0.879,0.435,0.206,0.47950000000000004
subj_003_0182,140,181,0,1.01,504,-0.66,0.272,0.53,0.115,-0.009,0.002,3.501,0.476,0.569,0.063,0.977,0.081,0.481,0.348,1.336,0.833,1.555,0.176,1.7545
subj_003_0184,141,212,126,1.04,65,2.689,1.181,0.128,0.08,-0.001,0.002,4.349,1.033,0.519,0.177,0.38,0.157,0.855,0.542,1.421,0.91,1.94,0.061,1.35
subj_003_0186,141,221,0,1.01,508,-0.167,0.403,0.417,0.088,-0.012,0.003,3.402,0.482,0.654,0.042,0.837,0.054,1.038,0.398,1.187,0.805,0.448,0.122,1.061
subj_003_0188,141,292,0,1.01,320,0.916,0.526,0.13,0.06,-0.0,0.001,4.087,0.731,0.592,0.113,0.281,0.125,0.673,0.42,1.396,0.87,0.835,0.433,0.6985
subj_003_0190,141,260,0,1.01,498,0.545,0.544,0.336,0.081,-0.004,0.001,2.385,0.342,0.667,0.071,0.499,0.054,0.632,0.45,1.01,0.727,0.782,0.124,0.89
subj_003_0192,141,318,0,1.0,732,1.054,0.261,0.028,0.03,-0.001,0.001,4.602,0.736,0.705,0.068,0.247,0.087,0.163,0.131,1.512,0.895,0.118,0.095,0.306
subj_003_0194,141,267,0,1.0,565,0.286,0.401,0.345,0.081,-0.009,0.002,3.925,0.526,0.636,0.069,1.095,0.104,0.445,0.345,1.567,0.899,1.104,0.282,1.647
subj_003_0196,141,216,6,1.01,697,2.436,0.784,0.116,0.075,0.0,0.002,2.879,0.64,0.422,0.101,0.487,0.077,1.168,0.457,1.451,0.835,0.634,0.146,0.804
subj_003_0198,141,216,0,1.01,692,-0.07,0.204,0.2,0.042,-0.002,0.001,3.325,0.315,0.577,0.06,0.337,0.103,0.269,0.224,1.327,0.85,0.76,0.258,0.7170000000000001
subj_003_0200,141,210,0,1.05,78,0.28,0.364,0.28,0.103,-0.005,0.002,3.549,0.529,0.552,0.061,1.153,0.089,0.557,0.415,1.183,0.793,0.364,0.443,1.335
subj_003_0202,141,3596,9,2.22,3,3.047,1.236,0.307,0.123,-0.006,0.003,4.814,0.986,0.339,0.152,0.794,0.196,1.41,0.536,1.901,0.713,1.533,0.584,1.5605
subj_003_0204,141,286,0,1.02,182,0.012,0.486,0.494,0.135,-0.011,0.003,2.461,0.352,0.586,0.073,0.963,0.051,1.25,0.451,1.044,0.76,1.137,0.272,1.5314999999999999
subj_003_0206,141,350,1,1.01,297,0.251,0.343,0.319,0.102,-0.003,0.001,3.162,0.416,0.622,0.082,0.529,0.073,0.362,0.311,1.271,0.793,0.737,0.405,0.8975
subj_003_0208,141,397,0,1.01,472,1.515,0.545,0.097,0.042,-0.002,0.001,3.825,0.858,0.61,0.114,0.524,0.101,0.401,0.325,1.436,0.883,0.216,0.149,0.632
subj_003_0210,141,287,0,1.0,426,-1.672,0.469,0.644,0.144,-0.006,0.002,3.262,0.435,0.585,0.05,0.78,0.058,1.132,0.413,1.316,0.861,0.454,0.138,1.0070000000000001
subj_003_0212,141,359,0,1.03,129,0.375,0.411,0.246,0.1,-0.005,0.002,2.413,0.261,0.663,0.066,0.382,0.052,0.5,0.423,1.124,0.776,1.233,0.267,0.9985
subj_003_0214,140,319,8,1.01,498,-0.552,0.33,0.472,0.135,-0.004,0.001,4.476,0.638,0.398,0.063,0.803,0.139,0.865,0.377,1.42,0.85,1.788,0.232,1.697
subj_003_0217,141,420,0,1.01,423,2.185,0.696,0.005,0.059,-0.0,0.001,3.756,1.089,0.77,0.094,0.606,0.035,0.506,0.415,1.414,0.859,0.1,0.058,0.656
