k,v_val,v_val_sd,sv,a,t0,v_tim,hrs
1,0.1834,0.04713066942024057,0.491,2.7161999999999997,0.9734999999999999,-0.0032,0.05394444444444444
2,0.1494,0.02817445651649735,0.2576,2.6192,0.9540000000000001,-0.0028,0.13944444444444445
4,0.14140000000000003,0.020839865642561132,0.1694,2.5664000000000002,0.9708,-0.0028,0.3095555555555556
10,0.13820000000000002,0.006942621983083915,0.1222,2.5684,0.9344999999999999,-0.0028,0.6987222222222222
50,0.1338,0.003033150177620626,0.049,2.585,0.9095000000000001,-0.0028,3.7893888888888885
